filename,influencer,non_influencer,category
6822694507797040389,0.9919074471221995,0.00809255287780053,0
6794818258483662086,0.7266448457152549,0.2733551542847453,0
6811661147066928390,0.8739595584461903,0.12604044155380992,0
6822742622893903110,0.6966629826254433,0.30333701737455665,0
7259505958118853931_justicebuys_1690235458,0.9929630943976171,0.007036905602382869,0
6975940059858046214_lopwert_1624212617,0.0838476454867428,0.9161523545132572,1
6899609374478601474_mik.zenon_1606440495,0.9912077339885442,0.008792266011455616,0
7147698077808282923_makeupbypita_1664203169,0.037390861558162194,0.9626091384418377,1
6961907699927747845_stuffyouactuallyneed_1620945455,0.09871031180427824,0.9012896881957216,1
6897636451849112838_teresalauracaruso_1605981174,0.9892464442464909,0.01075355575350903,0
7350801361019096362_claugonzalez_official_1711491837,0.9942258568980111,0.0057741431019888685,0
7212769061460184366_andreja.elena_1679353674,0.10447793713692385,0.8955220628630765,1
7257908886840167726_emburnette_1689863609,4.5145468285471704e-07,0.9999995485453171,1
7144832760090217771_gabriela.vlogs_1663536023,0.14165479277206158,0.8583452072279384,1
6975329213779954950_heartdefensor_1624070395,0.0066285067722611345,0.9933714932277388,1
7058546692563455234__tusya_kiskis_1643445970,0.0262010425319326,0.9737989574680675,1
7220139400783465733_eny4a_1681069706,0.09335707832237503,0.9066429216776251,1
7049930660726983983_simplysalfinds_1641439895,0.9965917901539667,0.003408209846033304,0
6993401583690206470_chateaublanche_1628278193,0.04778087804107207,0.952219121958928,1
7231254478421282074_tobesfinds_1683657643,0.9918976205299064,0.00810237947009349,0
7286126097421405483_glenxda_1696433451,0.01391146201271359,0.9860885379872867,1
7027448660333956357_garrisonmeek_1636205396,1.0348610825336337e-05,0.9999896513891747,1
7178967057709550849_kunchaaiii_1671483541,0.004646798784847374,0.9953532012151527,1
7347444193515818286_whisperfillies_1710710188,1.6336939896820652e-05,0.9999836630601032,1
6860299083349806341_heartdefensor_1597287859,0.23956282426776346,0.7604371757322366,1
6890346072661626117_arianalucidonio_1604283744,0.9929084853104327,0.007091514689567295,0
6982377509648092421_heartdefensor_1625711455,0.030472049965406044,0.9695279500345937,1
7310344854129642757_sam.shan.shops_1702072301,0.9975654198176943,0.002434580182305755,0
7366659432610024747_glenxda_1715184076,0.006571710691933771,0.9934282893080665,1
7064010203603356975_heartdefensor_1644718043,0.011919796866130525,0.9880802031338696,1
6813091851957046534_layallure_1586296564,0.4617683577687211,0.5382316422312791,0
7203167401305754886_its_jabent_1677118108,0.17171496995657554,0.8282850300434247,1
7232370620837727530_natalies.smith_1683917536,0.05386902060171701,0.9461309793982833,1
