id,author_nickname,author_uniqueId,stats_collectCount,stats_commentCount,stats_diggCount,stats_playCount,stats_shareCount,statsV2_collectCount,statsV2_commentCount,statsV2_diggCount,statsV2_playCount,statsV2_shareCount,video_duration,isAd,filename,influencer,non_influencer,category
7380389064479886623,reb for the rebrand,rebmasel,2835,776,65000,349400,4112,2835.0,776.0,65000.0,349400.0,4112.0,261,,7380389064479886623,0.5432876094291296,0.4567123905708704,0
7380155133021277483,reb for the rebrand,rebmasel,546,260,15900,125100,562,546.0,260.0,15900.0,125100.0,562.0,75,,7380155133021277483,0.9836390776851552,0.0163609223148449,0
7380115322059263278,reb for the rebrand,rebmasel,760,135,16100,131400,366,760.0,135.0,16100.0,131400.0,366.0,127,,7380115322059263278,0.8672081138990985,0.1327918861009017,0
7379784629701594414,reb for the rebrand,rebmasel,3580,946,109600,635600,4900,3580.0,946.0,109600.0,635600.0,4900.0,121,,7379784629701594414,0.9523567621958552,0.0476432378041447,0
7379629763830353195,reb for the rebrand,rebmasel,1557,1271,78600,358200,1769,1557.0,1271.0,78600.0,358200.0,1769.0,44,,7379629763830353195,0.4282792784083793,0.5717207215916206,0
7379461225106771243,reb for the rebrand,rebmasel,1114,687,43300,307500,1493,1114.0,687.0,43300.0,307500.0,1493.0,50,,7379461225106771243,0.9940797189565724,0.0059202810434274,0
7379384217614159150,reb for the rebrand,rebmasel,23200,3465,269900,2300000,25800,23248.0,3465.0,269900.0,2300000.0,25800.0,653,,7379384217614159150,0.9522491275128052,0.0477508724871945,0
7377539164281015594,reb for the rebrand,rebmasel,2235,610,74600,542100,2950,2235.0,610.0,74600.0,542100.0,2950.0,162,,7377539164281015594,0.5,0.5,0
7371949051522370862,Justice Buys,justicebuys,353600,8095,1800000,22000000,79900,,,,,,66,False,7371949051522370862,0.0122774534041029,0.9877225465958972,1
7371554855921470766,styleinspo.4you,styleinspo.4you,10100,72,26800,1300000,317,,,,,,15,False,7371554855921470766,0.3450456915377171,0.6549543084622829,1
7371158344582565163,Ben Schmanke,schmanke,51100,656,242700,3700000,11200,,,,,,40,False,7371158344582565163,0.0776032504546178,0.9223967495453824,1
7370812998258068778,Margaret & Stetson,everythingenvy,7091,267,92800,5900000,8925,,,,,,10,False,7370812998258068778,0.2940392476840611,0.7059607523159388,1
7370426645578124586,Lauren Wolfe,laurenwolfe,285600,3194,1400000,12500000,47500,,,,,,10,False,7370426645578124586,0.950629923062554,0.049370076937446,0
7370062099373952298,AMAZON FINDS,ariellebrimhall,8703,108,26600,868500,10000,,,,,,16,False,7370062099373952298,0.5799321964679502,0.4200678035320497,0
7369631430684511530,Sam Shan Shops 🦋,sam.shan.shops,71100,6712,710900,13000000,87100,,,,,,31,False,7369631430684511530,0.0280719362726303,0.9719280637273696,1
7369405756812168490,Christian Alatorre,christianalatorre_,8518,119,33700,800300,303,,,,,,17,False,7369405756812168490,0.8844265148269098,0.1155734851730903,0
7368971124085968171,Teresa Caruso,teresalauracaruso,841600,69200,7200000,43000000,321100,,,,,,17,False,7368971124085968171,0.3802105120298606,0.6197894879701394,1
7368639865606376750,Lauryn Emily,laurshaps,48700,1980,136600,5000000,13200,,,,,,10,False,7368639865606376750,0.4828960109281563,0.5171039890718436,0
7368207501084413227,Jared Andersen,stuffyouactuallyneed,109000,4632,4300000,26700000,25900,,,,,,16,False,7368207501084413227,0.1244317948726008,0.8755682051273993,1
7367920534711029035,Guilty4Gadgets,guilty4gadgets,1121,36,4310,184100,178,,,,,,21,False,7367920534711029035,0.3115261069544394,0.6884738930455606,1
7367476378096209195,Simply Sal Finds | Sal Farzin,simplysalfinds,518900,4683,2600000,29400000,136700,,,,,,24,True,7367476378096209195,0.7319493573820808,0.2680506426179191,0
7367065541300849962,Ben Taylor,bentaylor_nyc,25100,375,70400,1000000,2983,,,,,,61,False,7367065541300849962,0.4242115818668577,0.5757884181331422,0
7366718783014128939,Sam Shan Shops 🦋,sam.shan.shops,136200,1837,411300,8300000,40000,,,,,,67,False,7366718783014128939,0.4271382229544527,0.5728617770455472,0
7366482419240684843,Kristie & Evan | Amazon Finds,gladwegotit,29800,476,99200,1800000,21000,,,,,,56,False,7366482419240684843,0.0452234922702242,0.9547765077297758,1
7366358387824626987,Justice Buys,justicebuys,139400,1912,785800,10600000,27500,,,,,,63,False,7366358387824626987,0.0372851278404065,0.9627148721595934,1
7365989486343245098,Justice Buys,justicebuys,60000,1088,577800,5200000,4552,,,,,,53,False,7365989486343245098,0.1917435129996933,0.8082564870003067,1
7365630569985658154,Tobes Finds,tobesfinds,327900,4589,1600000,23700000,17000,,,,,,70,False,7365630569985658154,0.1728306949664247,0.8271693050335753,1
7365336902183980331,Gadtechie,gadtechiee,65,21,358,21700,32,,,,,,11,False,7365336902183980331,0.1444326957939855,0.8555673042060146,1
