time,pitch,rise_point,peak_point
0.02485260770975117,,0,0
0.03485260770975117,,0,0
0.04485260770975117,,0,0
0.05485260770975117,,0,0
0.06485260770975117,,0,0
0.07485260770975118,,0,0
0.08485260770975117,243.83825787223753,0,0
0.09485260770975118,249.91367964957396,0,0
0.10485260770975117,255.50246230828526,0,0
0.11485260770975117,253.44447626618236,0,0
0.12485260770975118,248.3985994404524,0,0
0.13485260770975116,246.8183385939356,0,0
0.14485260770975117,247.63062330313144,0,0
0.15485260770975118,244.7464446042072,0,0
0.1648526077097512,241.17868896564403,0,0
0.17485260770975117,242.87964463214936,0,0
0.18485260770975118,242.57297299947635,0,0
0.19485260770975119,242.68501678148573,0,0
0.20485260770975117,242.49491496861648,0,0
0.21485260770975118,242.75130623568566,0,0
0.22485260770975118,244.44664390546635,0,0
0.23485260770975117,243.976760348936,0,0
0.24485260770975117,241.9607300148991,0,0
0.25485260770975116,240.09271175889728,0,0
0.26485260770975116,241.47127210298282,0,0
0.2748526077097512,245.18873577371733,0,0
0.2848526077097512,248.4158184682198,0,0
0.2948526077097512,251.21094018098313,0,0
0.3048526077097512,254.64416458599692,0,0
0.31485260770975115,255.5793180145634,0,0
0.32485260770975116,252.4891587227544,0,0
0.33485260770975117,254.64706237841992,0,0
0.3448526077097512,261.44319050777125,0,0
0.3548526077097512,261.55135919277706,0,0
0.3648526077097512,262.80414822672583,1,0
0.3748526077097512,262.4794049637226,0,0
0.38485260770975116,280.8801733766581,0,0
0.39485260770975117,289.7632384639619,0,0
0.4048526077097512,298.43671282512224,0,1
0.4148526077097512,303.21316560101366,0,0
0.4248526077097512,303.81380593064614,0,0
0.4348526077097512,299.43424257238365,0,0
0.44485260770975116,297.11363384147387,0,0
0.45485260770975117,296.450491150159,0,0
0.4648526077097512,296.6644821534724,0,0
0.4748526077097512,297.9339803600299,0,0
0.4848526077097512,299.88285582543114,0,0
0.4948526077097512,301.8765293630902,0,0
0.5048526077097512,305.44041809173314,0,0
0.5148526077097512,309.04867315867904,0,0
0.5248526077097512,310.84292830211564,0,0
0.5348526077097512,306.939519783173,0,0
0.5448526077097512,307.0035896839442,1,0
0.5548526077097512,311.25678759509884,0,0
0.5648526077097512,326.8862849466418,0,0
0.5748526077097512,344.58826820815375,0,1
0.5848526077097512,341.7377463845727,0,0
0.5948526077097512,332.35720820119644,0,0
0.6048526077097511,322.07004890931773,0,0
0.6148526077097511,309.52778624681395,0,0
0.6248526077097512,301.98968924974196,0,0
0.6348526077097512,,0,0
0.6448526077097512,,0,0
0.6548526077097512,,0,0
0.6648526077097512,,0,0
0.6748526077097512,,0,0
0.6848526077097512,111.3953453745389,0,0
0.6948526077097512,110.99052637219019,1,0
0.7048526077097512,110.791535325029,0,0
0.7148526077097512,221.75987094760825,0,0
0.7248526077097512,227.06046093940745,0,0
0.7348526077097511,237.92427435087953,0,1
0.7448526077097511,244.88854926861518,0,0
0.7548526077097512,225.52416740527315,1,0
0.7648526077097512,222.27573029100975,0,0
0.7748526077097512,251.78227874220332,0,0
0.7848526077097512,274.2149725679265,0,1
0.7948526077097512,265.46184829335726,0,0
0.8048526077097512,260.67154811148316,0,0
0.8148526077097512,258.486458302478,0,0
0.8248526077097512,256.3984350182483,0,0
0.8348526077097512,253.91210791922038,0,0
0.8448526077097512,254.6742617577385,0,0
0.8548526077097512,255.53316689536436,0,0
0.8648526077097511,254.94294709652738,0,0
0.8748526077097512,253.0385450434718,0,0
