file_name,intonations,duration,intonation_per_15,id,author_uniqueId,stats_diggCount,stats_shareCount,stats_commentCount,stats_playCount,stats_collectCount,authorStats_followingCount,authorStats_followerCount,authorStats_heartCount,authorStats_videoCount,authorStats_diggCount
7392707594252504350_pitch_values,50,65.65766439909297,11.422885764580457,7392707594252504350,sydneyrenayeverhart,481900,1303,378,3800000,18300,314,1000000,55200000,2244,27000
7295032586341059883_pitch_values,68,513.6315419501134,1.9858593499288404,7295032586341059883,itz_justlola,550000,4646,3747,5600000,40700,429,1300000,77600000,646,23800
7388591121678552351_pitch_values,81,60.92950113378685,19.94107907320865,7388591121678552351,lisi.shops,183600,521,1097,1400000,8220,2864,2100000,115300000,1177,31700
7310337893245914411_pitch_values,55,190.2095011337869,4.337322768223461,7310337893245914411,neevaeha,53600,162,770,762700,8220,117,932800,13300000,232,5863
7249776837990141189_pitch_values,68,180.98827664399093,5.63572414143911,7249776837990141189,katiefanggg,2100000,17000,4955,12600000,201700,139,5200000,316400000,864,1043
7324778813685075246_pitch_values,80,91.44052154195012,13.123284729401687,7324778813685075246,krissleos,213100,356,3602,2800000,21400,444,2800000,97100000,1304,87200
7341885945957879070_pitch_values,164,244.98827664399093,10.041296806927594,7341885945957879070,haylieamariee,134000,257,244,933100,8543,115,33400,3000000,297,57500
7350308987822394670_pitch_values,25,129.00460317460318,2.906873016712828,7350308987822394670,the.noelanik,3000000,98100,16100,22700000,152900,114,2400000,114400000,329,13400
7328507053620825390_pitch_values,123,88.98501133786849,20.73382890287773,7328507053620825390,krissleos,324500,397,1182,4500000,29400,444,2800000,97100000,1304,87200
7325980019203886382_pitch_values,165,586.5654195011338,4.219478199217669,7325980019203886382,grwms.by.vitoria,909500,9066,5295,12400000,40200,185,1400000,31000000,241,8713
7394129236946160927_pitch_values,67,70.6731746031746,14.220388508695292,7394129236946160927,madison_meade,4151,33,78,23400,715,298,111200,4600000,265,4179
7392684479933910315_pitch_values,73,128.45603174603175,8.524317504723374,7392684479933910315,adaure.grwm,14100,354,300,149800,2046,904,7071,642800,197,19500
7340102070550269227_pitch_values,30,64.27317460317461,7.001365698494273,7340102070550269227,oyinda.maj,258400,310,715,2400000,19200,58,61100,3000000,182,5824
7374876347534970155_pitch_values,96,121.40297052154196,11.861324264256648,7374876347534970155,krissleos,301100,1590,1964,3600000,30300,444,2800000,97100000,1304,87200
7333344488422772014_pitch_values,82,99.30337868480726,12.38628550498838,7333344488422772014,lisi.shops,138200,223,576,1800000,7891,2864,2100000,115300000,1177,31700
7306489909089570094_pitch_values,30,69.23643990929705,6.4994676299001055,7306489909089570094,elm0zwrld,381100,356,1020,2100000,23900,220,2400000,92000000,321,112300
7363565914077285674_pitch_values,110,203.1662358276644,8.121428215068232,7363565914077285674,ch3lcityy,862300,11600,24700,5400000,68100,149,31400,1400000,228,189500
7362966410378874158_pitch_values,46,145.95807256235827,4.727384980403934,7362966410378874158,kelllytee,442900,8340,1015,3200000,20200,306,28700,6600000,986,18000
7341887513730043166_pitch_values,60,161.5792970521542,5.5700205188385,7341887513730043166,elm0zwrld,601700,411,1160,3500000,35600,220,2400000,92000000,321,112300
7324130633385561386_pitch_values,94,129.5792970521542,10.881367873391772,7324130633385561386,codygrwms,914800,10000,6031,12000000,83900,886,269600,10900000,528,16000
7334474026913385774_pitch_values,42,101.47154195011338,6.208637297634916,7334474026913385774,mona.ava7,335700,776,1599,2800000,22400,307,199500,8600000,151,13700
7253239921274621227_pitch_values,96,173.62174603174603,8.293891939876598,7253239921274621227,grwkatiefangg,227500,2187,2186,7200000,27000,3,137200,459600,47,699
7328596696328391942_pitch_values,152,220.53766439909296,10.338370120189673,7328596696328391942,autumnggrwm,244400,182,1382,1900000,17500,338,188000,2800000,248,6578
7340450119558368542_pitch_values,23,248.46256235827664,1.3885391695450635,7340450119558368542,giofilmedthis,725500,14500,6160,11800000,43500,1272,2100000,172900000,742,8348
7371824184089136430_pitch_values,8,47.659297052154194,2.5178717988366976,7371824184089136430,kayleighbursch,79100,268,158,1100000,3230,113,366300,12900000,397,2820
7314254763686628650_pitch_values,26,293.18419501133786,1.3302217740111064,7314254763686628650,itz_justlola,188400,194,1486,1700000,8290,429,1300000,77600000,646,23800
7393756404273745194_pitch_values,46,84.7531746031746,8.14128796037045,7393756404273745194,sonya_styles,330400,1580,495,4400000,12600,306,1100000,74400000,656,12000
7219451520142560558_pitch_values,19,51.13358276643991,5.573636435799522,7219451520142560558,heyimsuie,203000,1279,1177,2000000,16400,641,4000000,125200000,551,10200
7394179400624803103_pitch_values,116,599.8095011337869,2.9009210369475205,7394179400624803103,emymoore3,3799,15,41,22300,123,876,1000000,64800000,1110,50400
7393429919268605214_pitch_values,139,158.49684807256236,13.154835729259764,7393429919268605214,lisi.shops,86700,330,425,489800,4388,2864,2100000,115300000,1177,31700
7319145951157898527_pitch_values,35,250.2650113378685,2.097776262025008,7319145951157898527,itz_justlola,326200,474,2527,5000000,19600,429,1300000,77600000,646,23800
7340015086712458527_pitch_values,56,112.86092970521544,7.442788236761997,7340015086712458527,miacpuckett,139700,208,200,864600,4988,42,597100,20400000,275,596
7324460434076044586_pitch_values,117,103.43072562358276,16.96787863972841,7324460434076044586,kaitlynj101,111900,134,445,1100000,3375,30,1600000,57100000,1239,97400
7326657800522714414_pitch_values,27,62.28786848072562,6.502068699386034,7326657800522714414,_.lizethhhh,85100,144,285,966200,5199,302,351300,18300000,446,137400
7269701229306088750_pitch_values,13,116.70092970521542,1.6709378450760135,7269701229306088750,shanayahmariee,100400,250,719,743900,6270,401,1100000,58000000,1023,53500
7376401449565179169_pitch_values,120,211.39480725623585,8.514873299693614,7376401449565179169,kaylaimee,93500,1598,806,937400,11000,45,90500,5100000,62,2024
7392033220679716127_pitch_values,73,318.6274603174603,3.4366152839087096,7392033220679716127,user692047129,6236,14,55,73000,309,0,21600,613700,65,48
7278101254285380907_pitch_values,61,58.60460317460318,15.61310802282718,7278101254285380907,justtkass,286700,738,1100,4100000,15400,115,4200000,169800000,1000,3875
7373664295521078574_pitch_values,37,70.72541950113379,7.847249318770077,7373664295521078574,elm0zwrld,239100,1385,1447,1500000,15500,220,2400000,92000000,321,112300
7356316882443521326_pitch_values,68,54.60786848072562,18.678626878835583,7356316882443521326,hannnah.leigh,81700,790,270,614400,2542,242,2500000,101200000,1835,48700
7290575101106343210_pitch_values,49,91.8062358276644,8.005992113430263,7290575101106343210,demetradias,193800,691,402,1300000,13700,152,2700000,197700000,558,26100
7311837094299634987_pitch_values,66,113.30501133786848,8.737477612952897,7311837094299634987,sarailorenn,70400,245,382,1400000,6416,111,128100,4400000,427,17100
7292143580284456223_pitch_values,177,172.81195011337869,15.363520857545469,7292143580284456223,.isaescu,2100000,6748,6451,19200000,150800,305,1900000,226800000,1118,13800
7381500025681235246_pitch_values,37,53.954807256235824,10.286386482010014,7381500025681235246,codygrwms,571500,42900,21300,7500000,46000,886,269600,10900000,528,16000
7341417470663724330_pitch_values,57,179.65603174603174,4.759094318684824,7341417470663724330,burgerstina,252500,745,653,1400000,15300,103,326000,20400000,480,18600
7389311347323915566_pitch_values,184,287.4111337868481,9.602968276263406,7389311347323915566,giannamjoyce,99000,562,1182,660700,8858,634,10200000,626900000,3538,20100
7371388808509689134_pitch_values,17,195.5384807256236,1.304091138755506,7371388808509689134,itz_justlola,203400,263,515,1500000,6946,429,1300000,77600000,646,23800
7390798775846980910_pitch_values,59,146.79399092970522,6.028857137781595,7390798775846980910,hoperyangrwm,153700,549,725,860100,9479,63,282400,6600000,257,386
7358179822432111918_pitch_values,170,156.407052154195,16.303612688039564,7358179822432111918,lisi.shops,231700,581,950,1800000,12000,2864,2100000,115300000,1177,31700
