file_name,intonations,duration,intonation_per_15,id,author_uniqueId,stats_diggCount,stats_shareCount,stats_commentCount,stats_playCount,stats_collectCount,authorStats_followingCount,authorStats_followerCount,authorStats_heartCount,authorStats_videoCount,authorStats_diggCount
7354083757772557611_pitch_values,20,15.241337868480723,19.68331143819098,7354083757772557611,edensarchives,11200.0,64.0,98.0,119000.0,1846.0,147.0,81200.0,9000000.0,548.0,1833.0
7328151561505557806_pitch_values,69,146.29766439909298,7.074617385391539,7328151561505557806,delaneylynnesmith,94800.0,1687.0,672.0,1100000.0,40100.0,255.0,279600.0,7200000.0,958.0,1696.0
7391454201072733470_pitch_values,135,225.1090929705216,8.99563839593622,7391454201072733470,abbiekonnick,5928.0,114.0,256.0,110500.0,1948.0,670.0,221400.0,4200000.0,1633.0,15300.0
7247548300814224686_pitch_values,3,6.307460317460317,7.134408737448726,7247548300814224686,bradylockerby,13300.0,188.0,125.0,326100.0,5840.0,373.0,616300.0,11600000.0,2469.0,43500.0
7288523866446630174_pitch_values,113,176.80868480725624,9.586633155762478,7288523866446630174,jolie_reads,81000.0,810.0,469.0,649900.0,31900.0,832.0,260500.0,7100000.0,1211.0,15100.0
7313334711596895534_pitch_values,96,153.2984807256236,9.393439473006508,7313334711596895534,bookclubwannabe,112900.0,1198.0,1037.0,1200000.0,32400.0,523.0,242200.0,7300000.0,525.0,4566.0
7222453177890147630_pitch_values,79,173.3605215419501,6.835466284134657,7222453177890147630,aapueoreads,19300.0,143.0,108.0,150500.0,3960.0,240.0,48000.0,2900000.0,1097.0,29000.0
7242372071135743259_pitch_values,78,237.4388888888889,4.927583705748847,7242372071135743259,bookishbytammi,23500.0,503.0,210.0,231500.0,10400.0,385.0,117300.0,1900000.0,320.0,4434.0
7258790041474927918_pitch_values,60,155.98909297052154,5.769634163909652,7258790041474927918,_thebookwasbetter,16200.0,270.0,198.0,280400.0,6707.0,105.0,142800.0,3100000.0,276.0,1281.0
7344775987466341675_pitch_values,100,227.642970521542,6.589265623108948,7344775987466341675,bonreviewsbooks,45000.0,2378.0,363.0,1200000.0,34600.0,853.0,45200.0,3000000.0,950.0,43100.0
7379760989257960750_pitch_values,81,134.49031746031747,9.034107606731586,7379760989257960750,meagan.carioti,49500.0,955.0,287.0,399100.0,17200.0,1012.0,70900.0,4800000.0,2223.0,15100.0
7360064758956969259_pitch_values,125,256.76950113378683,7.302269123555497,7360064758956969259,alexisxleanne,335100.0,7318.0,5071.0,2400000.0,103400.0,276.0,125400.0,4000000.0,195.0,6481.0
7335219530878209311_pitch_values,81,163.7474603174603,7.419962408238005,7335219530878209311,meagan.carioti,533100.0,8397.0,2711.0,6200000.0,219400.0,1012.0,70900.0,4800000.0,2223.0,15100.0
7270658065752395051_pitch_values,173,278.8168480725624,9.30718504975226,7270658065752395051,ellalucillee,448100.0,4773.0,1600.0,5900000.0,138800.0,358.0,55700.0,1400000.0,72.0,24900.0
7347167896663100714_pitch_values,83,342.7646031746032,3.632230365881161,7347167896663100714,tatis_corner,238100.0,4570.0,1461.0,2200000.0,93800.0,74.0,44100.0,1100000.0,148.0,7496.0
7209030204805614894_pitch_values,40,63.77684807256236,9.407802645206733,7209030204805614894,books.with.lee,4046.0,39.0,113.0,103600.0,704.0,453.0,105600.0,1400000.0,869.0,20300.0
7252424500963200298_pitch_values,70,177.67072562358277,5.909808699856125,7252424500963200298,bradylockerby,981600.0,32500.0,8918.0,14900000.0,476600.0,373.0,616300.0,11600000.0,2469.0,43500.0
7333300706289470753_pitch_values,36,124.407052154195,4.340589947671959,7333300706289470753,bookishbytammi,9788.0,96.0,273.0,99400.0,2382.0,385.0,117300.0,1900000.0,320.0,4434.0
7302472195245313326_pitch_values,123,182.13766439909296,10.12970055417702,7302472195245313326,lyssasreading,82100.0,691.0,262.0,1200000.0,37100.0,102.0,18700.0,1800000.0,69.0,4575.0
7359649024523160874_pitch_values,45,194.8592970521542,3.464037950518398,7359649024523160874,bradylockerby,81400.0,4667.0,1392.0,1600000.0,40100.0,373.0,616300.0,11600000.0,2469.0,43500.0
7371299242075262254_pitch_values,31,217.4290929705216,2.138628247246764,7371299242075262254,amandaalmareads,2928.0,59.0,17.0,40600.0,2020.0,5.0,2751.0,480000.0,340.0,18.0
7382743508928433451_pitch_values,61,540.8772562358276,1.6916962017738295,7382743508928433451,booksforlosers,79100.0,1226.0,411.0,532400.0,38600.0,3671.0,57800.0,6000000.0,1244.0,172800.0
7393772132934765854_pitch_values,12,78.77113378684807,2.285101043322211,7393772132934765854,ajlanereads,4085.0,133.0,173.0,39700.0,1947.0,68.0,31000.0,290600.0,133.0,2539.0
7387087317946715435_pitch_values,241,247.44378684807256,14.6093787443512,7387087317946715435,mariannasreads,29100.0,1146.0,370.0,271400.0,15700.0,43.0,127000.0,2500000.0,109.0,5161.0
7339756750112918827_pitch_values,85,47.9727664399093,26.57757921042693,7339756750112918827,dm6589,93600.0,1269.0,296.0,1000000.0,42100.0,774.0,198600.0,27200000.0,1596.0,17600.0
7382285833417608454_pitch_values,31,114.95072562358276,4.045211524133283,7382285833417608454,bigbooklady,156300.0,3994.0,691.0,1400000.0,103900.0,584.0,263600.0,9900000.0,607.0,20900.0
7377814885679238442_pitch_values,193,245.4846031746032,11.793000304548244,7377814885679238442,mariannasreads,180200.0,10300.0,1459.0,1500000.0,92200.0,43.0,127000.0,2500000.0,109.0,5161.0
7384833760866454814_pitch_values,74,200.47562358276645,5.536832758830332,7384833760866454814,books.with.laur,7221.0,119.0,50.0,57100.0,2744.0,350.0,20900.0,1200000.0,342.0,7518.0
7348813936663350570_pitch_values,16,67.25113378684807,3.5687130682536603,7348813936663350570,tayrosen,139400.0,2827.0,734.0,1500000.0,65600.0,485.0,355600.0,17300000.0,436.0,5392.0
7190418883071806762_pitch_values,10,28.459297052154195,5.270685348450865,7190418883071806762,nateliason,10600.0,507.0,114.0,352300.0,5341.0,159.0,120300.0,1700000.0,265.0,11800.0
7381539350879980846_pitch_values,10,59.59725623582767,2.516894392024469,7381539350879980846,sybrenna,4250.0,56.0,81.0,31400.0,1133.0,871.0,10200.0,130800.0,278.0,33700.0
7225092945530096942_pitch_values,48,171.5580725623583,4.1968296172031945,7225092945530096942,aapueoreads,260200.0,8501.0,1187.0,2000000.0,123700.0,240.0,48000.0,2900000.0,1097.0,29000.0
7363314315488742699_pitch_values,36,26.944195011337868,20.041422643087795,7363314315488742699,shawnacischroeder,67400.0,9131.0,525.0,543000.0,44500.0,18.0,210700.0,12300000.0,1319.0,21300.0
7390461645258116395_pitch_values,43,47.73766439909297,13.511343885777856,7390461645258116395,probablyoffreading,117700.0,1861.0,1453.0,2700000.0,20400.0,373.0,298400.0,7500000.0,1672.0,43600.0
7314444517221109038_pitch_values,97,190.4446031746032,7.640016969480772,7314444517221109038,meagan.carioti,53700.0,318.0,252.0,543100.0,18500.0,1012.0,70900.0,4800000.0,2223.0,15100.0
7344574819112979754_pitch_values,77,188.95562358276644,6.112546311669239,7344574819112979754,,,,,,,,,,,
7381225261666192683_pitch_values,20,33.70990929705216,8.899460314662852,7381225261666192683,caitlinbea,2393.0,80.0,62.0,69500.0,1164.0,129.0,248500.0,6700000.0,682.0,8673.0
7333764882665344302_pitch_values,39,68.74011337868481,8.510314738314047,7333764882665344302,sydneyyybooks,42700.0,2290.0,421.0,440000.0,31500.0,375.0,399800.0,6700000.0,643.0,45000.0
7394558056274709803_pitch_values,31,53.876439909297055,8.630859811502846,7394558056274709803,jacob_elijah_,486.0,7.0,359.0,4870.0,72.0,430.0,8409.0,113100.0,163.0,199200.0
7278439753203207467_pitch_values,2,76.02827664399094,0.3945900305024357,7278439753203207467,victoria.thatsit,132800.0,5990.0,2574.0,1800000.0,50800.0,367.0,66100.0,2600000.0,433.0,23100.0
7394604979799002399_pitch_values,220,437.8503174603175,7.536822216188253,7394604979799002399,tinas_library,244.0,0.0,18.0,1943.0,57.0,265.0,16000.0,869200.0,551.0,2863.0
7363749993758330154_pitch_values,60,44.1327664399093,20.39301119329173,7363749993758330154,edensarchives,7699.0,179.0,77.0,124100.0,2434.0,147.0,81200.0,9000000.0,548.0,1833.0
7370458729134722350_pitch_values,55,111.3197052154195,7.411086818847637,7370458729134722350,jolie_reads,52800.0,652.0,332.0,586900.0,16700.0,832.0,260500.0,7100000.0,1211.0,15100.0
