file_name,intonations,duration,intonation_per_15,id,author_nickname,author_uniqueId,stats_collectCount,stats_commentCount,stats_diggCount,stats_shareCount,stats_playCount,video_duration,authorStats_followingCount,authorStats_followerCount,authorStats_heartCount,genre,authorStats_videoCount,authorStats_diggCount
7158213573662231854_pitch_values,6,21.74582766439909,4.1387249723928585,7158213573662231854,Justice Buys,justicebuys,1989.0,7.0,6998.0,222.0,169300.0,21.0,66.0,1200000.0,36600000.0,amazon,,
7167758721903332614_pitch_values,19,23.67888888888889,12.036037726995447,7167758721903332614,Sam Shan Shops 🦋,sam.shan.shops,590.0,12.0,1988.0,53.0,82500.0,23.0,937.0,1100000.0,41300000.0,amazon,,
7094004328138067243_pitch_values,15,14.640521541950111,15.368304971602129,7094004328138067243,Jared Andersen,stuffyouactuallyneed,1112.0,129.0,12600.0,963.0,266600.0,14.0,1083.0,1400000.0,65700000.0,amazon,,
7242394118993939758_pitch_values,26,43.71480725623583,8.921462188178063,7242394118993939758,Justice Buys,justicebuys,6730.0,120.0,35600.0,1400.0,417100.0,43.0,66.0,1200000.0,36600000.0,amazon,,
7230201662491659525_pitch_values,15,16.965419501133788,13.2622715273833,7230201662491659525,Anya,anya.bumag,1936.0,7.0,4282.0,253.0,107800.0,16.0,278.0,818700.0,21800000.0,amazon,,
7195558847606508806_pitch_values,29,24.2797052154195,17.916197752011467,7195558847606508806,Sam Shan Shops 🦋,sam.shan.shops,3054.0,67.0,12100.0,2575.0,213000.0,24.0,937.0,1100000.0,41300000.0,amazon,,
7228337648539061509_pitch_values,15,17.14827664399093,13.12085200578124,7228337648539061509,Sam Shan Shops 🦋,sam.shan.shops,4563.0,62.0,23900.0,1155.0,543000.0,17.0,937.0,1100000.0,41300000.0,amazon,,
7044307550761946414_pitch_values,12,12.393990929705216,14.523166994465535,7044307550761946414,Margaret & Stetson,everythingenvy,81.0,2.0,963.0,47.0,64200.0,12.0,27.0,406000.0,9400000.0,amazon,,
7005687437066243333_pitch_values,2,11.375215419501131,2.6373126919925767,7005687437066243333,Jared Andersen,stuffyouactuallyneed,109.0,22.0,1853.0,163.0,65100.0,11.0,1083.0,1400000.0,65700000.0,amazon,,
6856157769188265221_pitch_values,6,15.16297052154195,5.935512429582151,6856157769188265221,Jared Andersen,stuffyouactuallyneed,223.0,68.0,14400.0,54.0,188400.0,15.0,1083.0,1400000.0,65700000.0,amazon,,
7040928653991054598_pitch_values,7,10.696031746031746,9.816724790383615,7040928653991054598,Anya,anya.bumag,277.0,7.0,2174.0,44.0,52400.0,10.0,278.0,818700.0,21800000.0,amazon,,
7145951014259133702_pitch_values,13,22.00705215419501,8.860796013646418,7145951014259133702,Sam Shan Shops 🦋,sam.shan.shops,956.0,6.0,2397.0,149.0,71300.0,22.0,937.0,1100000.0,41300000.0,amazon,,
7003772914784865542_pitch_values,22,21.510725623582765,15.341184010929526,7003772914784865542,Margaret & Stetson,everythingenvy,52.0,1.0,638.0,71.0,42900.0,21.0,27.0,406000.0,9400000.0,amazon,,
7348620171407363371_pitch_values,14,8.606235827664399,24.40091164187756,7348620171407363371,Margaret & Stetson,everythingenvy,297.0,6.0,560.0,100.0,34500.0,8.0,27.0,406000.0,9400000.0,amazon,,
7202039106061257989_pitch_values,16,18.29766439909297,13.116428127947138,7202039106061257989,Sam Shan Shops 🦋,sam.shan.shops,2632.0,13.0,9233.0,1514.0,216400.0,18.0,937.0,1100000.0,41300000.0,amazon,,
7188965099011345710_pitch_values,16,18.663378684807256,12.85940793750114,7188965099011345710,Justice Buys,justicebuys,31400.0,456.0,197800.0,10000.0,4200000.0,18.0,66.0,1200000.0,36600000.0,amazon,,
7179367511320726790_pitch_values,17,15.894399092970522,16.043387265440984,7179367511320726790,Sam Shan Shops 🦋,sam.shan.shops,1825.0,13.0,6463.0,545.0,164600.0,15.0,937.0,1100000.0,41300000.0,amazon,,
7200550508065524998_pitch_values,11,16.808684807256235,9.816353979626664,7200550508065524998,Sam Shan Shops 🦋,sam.shan.shops,5917.0,50.0,25700.0,2377.0,729900.0,16.0,937.0,1100000.0,41300000.0,amazon,,
7349997800874102062_pitch_values,22,23.26092970521542,14.18687920827212,7349997800874102062,Sarah Lindner,thehouseofsequins,1837.0,14.0,4311.0,405.0,214400.0,23.0,27.0,417300.0,14300000.0,amazon,,
7204856507178011950_pitch_values,18,22.71235827664399,11.887801201060288,7204856507178011950,Sarah Lindner,thehouseofsequins,108.0,2.0,393.0,17.0,10400.0,22.0,27.0,417300.0,14300000.0,amazon,,
7236409616878423302_pitch_values,21,24.67154195011338,12.767746768197128,7236409616878423302,Sam Shan Shops 🦋,sam.shan.shops,7475.0,41.0,34600.0,4912.0,620000.0,24.0,937.0,1100000.0,41300000.0,amazon,,
7194129838561676587_pitch_values,21,16.338480725623583,19.279638375799934,7194129838561676587,Justice Buys,justicebuys,3655.0,47.0,23200.0,716.0,572300.0,16.0,66.0,1200000.0,36600000.0,amazon,,
7169713529132420358_pitch_values,29,20.62256235827664,21.09340209246197,7169713529132420358,Sam Shan Shops 🦋,sam.shan.shops,922.0,16.0,3284.0,261.0,157400.0,20.0,937.0,1100000.0,41300000.0,amazon,,
7184594923650305322_pitch_values,39,19.420929705215418,30.122141878866927,7184594923650305322,Margaret & Stetson,everythingenvy,893.0,3.0,2788.0,158.0,79700.0,19.0,27.0,406000.0,9400000.0,amazon,,
7161077330792811782_pitch_values,19,21.27562358276644,13.395612067081975,7161077330792811782,Sam Shan Shops 🦋,sam.shan.shops,167.0,3.0,724.0,22.0,34900.0,21.0,937.0,1100000.0,41300000.0,amazon,,
7293648321652985130_pitch_values,62,54.790725623582766,16.97367555212143,7293648321652985130,Jared Andersen,stuffyouactuallyneed,2050.0,36.0,15100.0,220.0,163100.0,54.0,1083.0,1400000.0,65700000.0,amazon,,
7077566747318062382_pitch_values,24,20.72705215419501,17.368605883839518,7077566747318062382,Sarah Lindner,thehouseofsequins,117.0,8.0,1370.0,35.0,18700.0,20.0,27.0,417300.0,14300000.0,amazon,,
7366018710248672517_pitch_values,34,16.625827664399093,30.67516458696752,7366018710248672517,Sam Shan Shops 🦋,sam.shan.shops,4891.0,46.0,21500.0,2533.0,774700.0,16.0,937.0,1100000.0,41300000.0,amazon,,
6939293230886292741_pitch_values,15,16.730317460317462,13.448639007220043,6939293230886292741,Anya,anya.bumag,1648.0,33.0,13300.0,538.0,206400.0,16.0,278.0,818700.0,21800000.0,amazon,,
7335562674899635461_pitch_values,38,18.40215419501133,30.97463448896228,7335562674899635461,Sam Shan Shops 🦋,sam.shan.shops,49200.0,228.0,153000.0,8930.0,2500000.0,18.0,937.0,1100000.0,41300000.0,amazon,,
7298848747755146542_pitch_values,39,38.22909297052154,15.30248181538321,7298848747755146542,Jared Andersen,stuffyouactuallyneed,1018.0,23.0,8109.0,80.0,118000.0,38.0,1083.0,1400000.0,65700000.0,amazon,,
7298726899356929285_pitch_values,28,23.26092970521542,18.056028083255427,7298726899356929285,Sam Shan Shops 🦋,sam.shan.shops,2609.0,39.0,16100.0,992.0,362800.0,23.0,937.0,1100000.0,41300000.0,amazon,,
7083855279896628526_pitch_values,16,12.498480725623583,19.20233388910761,7083855279896628526,Sarah Lindner,thehouseofsequins,61.0,6.0,1065.0,16.0,27200.0,12.0,27.0,417300.0,14300000.0,amazon,,
7264730735444053290_pitch_values,88,65.99725623582766,20.000831478254955,7264730735444053290,Justice Buys,justicebuys,353500.0,8091.0,1800000.0,79800.0,22000000.0,66.0,66.0,1200000.0,36600000.0,amazon,,
7214836838295506218_pitch_values,13,19.68215419501134,9.9074521044767,7214836838295506218,Sarah Lindner,thehouseofsequins,118.0,1.0,473.0,26.0,8677.0,19.0,27.0,417300.0,14300000.0,amazon,,
7217228193017826566_pitch_values,13,16.547460317460317,11.78428570058226,7217228193017826566,Anya,anya.bumag,2492.0,36.0,7581.0,629.0,207400.0,16.0,278.0,818700.0,21800000.0,amazon,,
7291427155118984490_pitch_values,32,29.86990929705216,16.069683882413763,7291427155118984490,Jared Andersen,stuffyouactuallyneed,872.0,45.0,10200.0,261.0,143400.0,29.0,1083.0,1400000.0,65700000.0,amazon,,
7073541372002798890_pitch_values,20,15.894399092970522,18.87457325345998,7073541372002798890,Sarah Lindner,thehouseofsequins,266.0,15.0,2570.0,104.0,41000.0,15.0,27.0,417300.0,14300000.0,amazon,,
7205731316908821766_pitch_values,29,19.73439909297052,22.04272843326397,7205731316908821766,Sam Shan Shops 🦋,sam.shan.shops,10300.0,67.0,54300.0,4818.0,1200000.0,19.0,937.0,1100000.0,41300000.0,amazon,,
7339753609657093418_pitch_values,30,19.55154195011338,23.016087485488093,7339753609657093418,Justice Buys,justicebuys,2279.0,24.0,11000.0,296.0,163300.0,19.0,66.0,1200000.0,36600000.0,amazon,,
7218730784381865222_pitch_values,31,36.60950113378685,12.701620770539597,7218730784381865222,Sam Shan Shops 🦋,sam.shan.shops,4112.0,30.0,12900.0,771.0,198400.0,36.0,937.0,1100000.0,41300000.0,amazon,,
7307737102316293381_pitch_values,108,56.20133786848073,28.824936584090484,7307737102316293381,Sam Shan Shops 🦋,sam.shan.shops,21000.0,184.0,66400.0,3126.0,2700000.0,56.0,937.0,1100000.0,41300000.0,amazon,,
7187523128644406571_pitch_values,17,20.07399092970521,12.703004643817714,7187523128644406571,Jared Andersen,stuffyouactuallyneed,11100.0,213.0,78700.0,5110.0,2700000.0,20.0,1083.0,1400000.0,65700000.0,amazon,,
7336590977735363886_pitch_values,35,42.04297052154195,12.4872242252959,7336590977735363886,Sarah Lindner,thehouseofsequins,46300.0,423.0,116500.0,5965.0,2900000.0,42.0,27.0,417300.0,14300000.0,amazon,,
7219304142718635270_pitch_values,16,18.2192970521542,13.172846313059214,7219304142718635270,Sam Shan Shops 🦋,sam.shan.shops,54100.0,363.0,207200.0,22300.0,3500000.0,18.0,937.0,1100000.0,41300000.0,amazon,,
7020851269514431750_pitch_values,25,23.9662358276644,15.647012851602453,7020851269514431750,Sarah Lindner,thehouseofsequins,28.0,4.0,752.0,7.0,15500.0,24.0,27.0,417300.0,14300000.0,amazon,,
7278759417238129926_pitch_values,14,14.87562358276644,14.117055250261044,7278759417238129926,Anya,anya.bumag,21400.0,244.0,65800.0,7242.0,2300000.0,14.0,278.0,818700.0,21800000.0,amazon,,
7333657516389321989_pitch_values,33,16.808684807256235,29.44906193888,7333657516389321989,Sam Shan Shops 🦋,sam.shan.shops,25300.0,444.0,113200.0,8904.0,2100000.0,16.0,937.0,1100000.0,41300000.0,amazon,,
6985308081093709062_pitch_values,15,16.57358276643991,13.57582142441801,6985308081093709062,Sarah Lindner,thehouseofsequins,32.0,3.0,1764.0,12.0,22500.0,16.0,27.0,417300.0,14300000.0,amazon,,
7225753297691479301_pitch_values,12,17.592358276643992,10.231715223704374,7225753297691479301,Anya,anya.bumag,2837.0,18.0,8185.0,331.0,226000.0,17.0,278.0,818700.0,21800000.0,amazon,,
7205233800182271275_pitch_values,12,14.901746031746033,12.079121440973148,7205233800182271275,Sarah Lindner,thehouseofsequins,81.0,0.0,174.0,5.0,6210.0,14.0,27.0,417300.0,14300000.0,amazon,,
7269443103222713643_pitch_values,70,53.4062358276644,19.66062546306813,7269443103222713643,Jared Andersen,stuffyouactuallyneed,791.0,25.0,8827.0,222.0,98700.0,53.0,1083.0,1400000.0,65700000.0,amazon,,
7249776989316336901_pitch_values,54,51.13358276643991,15.840861449114431,7249776989316336901,Sam Shan Shops 🦋,sam.shan.shops,6232.0,52.0,19200.0,2278.0,523100.0,51.0,937.0,1100000.0,41300000.0,amazon,,
7280978864224947461_pitch_values,37,22.16378684807256,25.040847207401505,7280978864224947461,Sam Shan Shops 🦋,sam.shan.shops,21000.0,569.0,116500.0,33100.0,2700000.0,22.0,937.0,1100000.0,41300000.0,amazon,,
6968851528081755397_pitch_values,29,24.514807256235827,17.74437773274147,6968851528081755397,Sarah Lindner,thehouseofsequins,148.0,13.0,2773.0,62.0,27200.0,24.0,27.0,417300.0,14300000.0,amazon,,
7310314995332533547_pitch_values,20,17.513990929705216,17.12916269079337,7310314995332533547,Justice Buys,justicebuys,1027.0,23.0,9231.0,96.0,179100.0,17.0,66.0,1200000.0,36600000.0,amazon,,
7101426177033669931_pitch_values,13,20.51807256235828,9.50381666734818,7101426177033669931,Jared Andersen,stuffyouactuallyneed,7815.0,290.0,120800.0,1354.0,2400000.0,20.0,1083.0,1400000.0,65700000.0,amazon,,
7039071783579831557_pitch_values,10,10.696031746031746,14.02389255769088,7039071783579831557,Anya,anya.bumag,843.0,15.0,6333.0,103.0,81900.0,10.0,278.0,818700.0,21800000.0,amazon,,
7152896605312634117_pitch_values,27,32.09031746031746,12.620629275507127,7152896605312634117,Sam Shan Shops 🦋,sam.shan.shops,498.0,7.0,1820.0,48.0,64400.0,32.0,937.0,1100000.0,41300000.0,amazon,,
7357078531039350021_pitch_values,23,19.05521541950113,18.105279442127248,7357078531039350021,Anya,anya.bumag,1065.0,14.0,3331.0,186.0,89800.0,19.0,278.0,818700.0,21800000.0,amazon,,
6958587151793556742_pitch_values,13,19.316439909297053,10.095027909679462,6958587151793556742,Anya,anya.bumag,32700.0,739.0,213900.0,20900.0,3600000.0,19.0,278.0,818700.0,21800000.0,amazon,,
7093681045958085893_pitch_values,16,12.211133786848071,19.65419462183688,7093681045958085893,Anya,anya.bumag,1188.0,17.0,7198.0,112.0,147200.0,12.0,278.0,818700.0,21800000.0,amazon,,
7370414643845549342_pitch_values,16,12.550725623582766,19.12240034544624,7370414643845549342,Justice Buys,justicebuys,1528.0,65.0,8190.0,494.0,171500.0,12.0,66.0,1200000.0,36600000.0,amazon,,
6875463260485782790_pitch_values,24,37.94174603174603,9.488229658666375,6875463260485782790,Jared Andersen,stuffyouactuallyneed,1997.0,157.0,47700.0,1435.0,315000.0,37.0,1083.0,1400000.0,65700000.0,amazon,,
7130093245006204165_pitch_values,10,20.07399092970521,7.472355672833949,7130093245006204165,Sam Shan Shops 🦋,sam.shan.shops,557.0,28.0,2247.0,163.0,93300.0,20.0,937.0,1100000.0,41300000.0,amazon,,
7189396210497735982_pitch_values,32,12.080521541950114,39.73338388853329,7189396210497735982,Margaret & Stetson,everythingenvy,271.0,1.0,1221.0,36.0,42000.0,12.0,27.0,406000.0,9400000.0,amazon,,
7096599451891961131_pitch_values,11,12.576848072562358,13.1193442942166,7096599451891961131,Jared Andersen,stuffyouactuallyneed,874.0,40.0,7142.0,193.0,144500.0,12.0,1083.0,1400000.0,65700000.0,amazon,,
7021521007458503942_pitch_values,22,17.46174603174603,18.898453762873945,7021521007458503942,Sarah Lindner,thehouseofsequins,73.0,3.0,910.0,50.0,21200.0,17.0,27.0,417300.0,14300000.0,amazon,,
